city,date,SO_2,NO_2,CO,PM_10,PM_2_5,O3_8h_max,AQI_avg,,,,,,,,,,,
Shanghai,20190303,8.708333333333334,65,0.9245833333333334,83.16666666666667,73.5,75,98.20833333333331,,,,,,,,,,,
Shenyang,20190303,48.958333333333336,69.20833333333333,2.349166666666666,266.7916666666667,187.54166666666663,139,237.54166666666663,,,,,,,,,,,
Shijiazhuang,20190303,33.083333333333336,56.41666666666666,1.4483333333333333,210.66666666666663,139.33333333333334,103,183.875,,,,,,,,,,,
Taiyuan,20190303,56.333333333333336,70.29166666666667,1.5741666666666667,193.91666666666663,133.20833333333334,109,175.83333333333334,,,,,,,,,,,
Tianjin,20190303,16.291666666666668,56.458333333333336,1.31875,160.52173913043478,142.66666666666666,123,184.54166666666663,,,,,,,,,,,
Urumqi,20190303,9.625,84.29166666666667,2.48,154.08333333333334,148.25,97,192.58333333333331,,,,,,,,,,,
Wuhan,20190303,6.041666666666667,40.458333333333336,0.7683333333333334,75.45833333333333,51.625,106,71.04166666666667,,,,,,,,,,,
Xi'an,20190303,6.375,55.833333333333336,1.0125,68.625,41.333333333333336,70,60.29166666666666,,,,,,,,,,,
Xining,20190303,23.25,45.125,1.6629166666666666,64.75,32.166666666666664,87,56.625,,,,,,,,,,,
Yinchuan,20190303,12,51.875,1.4691666666666665,94.33333333333331,67.04166666666667,102,90.20833333333331,,,,,,,,,,,
Zhengzhou,20190303,9.75,41.208333333333336,0.8395833333333332,109.875,99.16666666666669,89,130.625,,,,,,,,,,,
Beijing,20190304,6,53.16666666666666,1.06875,95.38888888888889,109.91666666666669,90,144.04166666666666,,,,,,,,,,,
Changchun,20190304,24.20833333333333,71.66666666666667,1.2666666666666666,153.66666666666666,109.95833333333331,78,142.95833333333334,,,,,,,,,,,
Changsha,20190304,6.458333333333333,45.54166666666666,1.1420833333333331,54.69565217391305,42.41666666666666,84,60.125,,,,,,,,,,,
Chengdu,20190304,8.208333333333334,46.41666666666666,0.8204166666666667,77.41666666666667,50.41666666666666,68,71,,,,,,,,,,,
